Sl.No,Vendor No.,Name of the party,Document No,GST NUMBER,Invoice No,Invoice Date,Description,HSN CODE,Total invoice value,Taxable amount,SGST %,SGST,CGST %,CGST%,IGST %,IGST
1436,V1021,M. Sumathi,JV/M/21-22/00988,,NIL...,31/10/2021,Afforestation Expenses,9966,"5,460.00","5,200.00",2.50,130.00,2.50,130.00,0.00,0.00
1437,V1022,G. Sravani,JV/M/21-22/00990,,NILL..,31/10/2021,Afforestation Expenses,9966,"2,730.00","2,600.00",2.50,65.00,2.50,65.00,0.00,0.00
1438,V0173,Sri Lakshmi Devi Travels,JV/M/21-22/00992,,NILL..,31/10/2021,Hire Charges (Vehicle),9966,"6,448.00","6,140.00",2.50,154.00,2.50,154.00,0.00,0.00
1439,V0194,Thriveni Earth Movers Pvt,JV/M/21-22/00996,37AABCT6759R1ZC,APMGPMIN21220004,31/10/2021,Excavation & Transportat of OB,998622,"102,559.00","86,915.00",9.00,"7,822.00",9.00,"7,822.00",0.00,0.00
1440,V0803,P. Sreedevi,JV/M/21-22/00999,37BAOPP0002J1ZR,54,31/10/2021,Subsidy Canteen Expenses,9963,"496,860.00","473,200.00",2.50,"11,830.00",2.50,"11,830.00",0.00,0.00
1441,V0677,Sri Venkata Sai Traders ( Korlakunta),JV/M/21-22/01001,37ABPPE6121L1ZG,2021-22/06,31/10/2021,Welfare Amenities,998599,"50,859.00","43,101.00",9.00,"3,879.00",9.00,"3,879.00",0.00,0.00
1442,V0693,V.G.Electrical service,JV/M/21-22/01002,33AAAFV5542L1Z2,9309,31/10/2021,R & M to machinery (Mine),998717,"623,552.00","528,434.00",0.00,0.00,0.00,0.00,18.00,"95,118.00"
1443,V0703,SDR Security Services,JV/M/21-22/01003,37BIEPS2739F1Z2,SDR/2021-22   28,31/10/2021,Nursery Expenses,998525,"66,528.00","56,380.00",9.00,"5,074.00",9.00,"5,074.00",0.00,0.00
1444,V0002,"A. Revathi,Out source Contr",JV/M/21-22/01004,37BBTPA1899J1Z0,AR/2021-22/011,31/10/2021,Uniforms,998515,"798,537.00","676,727.00",9.00,"60,905.00",9.00,"60,905.00",0.00,0.00
1445,V0143,"S. Madhavi,Contractor",JV/M/21-22/01005,37BYBPM0694Q1ZQ,SMV/2021-22/011,31/10/2021,Uniforms,998515,"841,128.00","712,820.00",9.00,"64,154.00",9.00,"64,154.00",0.00,0.00
1446,V0146,"S.D.S. Swarnalatha,Contract",JV/M/21-22/01006,37EKAPS1838G1ZZ,SDS-2021-22/011,31/10/2021,Uniforms,9985,"839,158.00","711,150.00",9.00,"64,004.00",9.00,"64,004.00",0.00,0.00
1447,V0124,"P. Ravi Babu,Contractor",JV/M/21-22/01007,37BKJPR7084M3Z5,PR/2021-22/012,31/10/2021,Uniforms,998515,"843,716.00","715,014.00",9.00,"64,351.00",9.00,"64,351.00",0.00,0.00
1448,V1015,Vaddi Subba Reddy,JV/M/21-22/01008,37AKOPV1282H1ZM,VSR-2021-22/0012,31/10/2021,Uniforms,998515,"1,238,195.00","1,049,317.00",9.00,"94,439.00",9.00,"94,439.00",0.00,0.00
1449,V1023,Prathap Reddy Mannuru,JV/M/21-22/01009,37AQCPM4537E1ZX,MPR-2021-22/011,31/10/2021,Uniforms,998515,"1,246,694.00","1,056,520.00",9.00,"95,087.00",9.00,"95,087.00",0.00,0.00
1450,V1247,Sai Krupa Manpower Agency,JV/M/21-22/01010,37BALPV7821E1ZA,AR/2021-22/005,31/10/2021,Uniforms,998515,"758,874.00","643,114.00",9.00,"57,880.00",9.00,"57,880.00",0.00,0.00
1451,V0029,C.H. Saraswathi,JV/M/21-22/01011,,"NILL...,",31/10/2021,Afforestation Expenses,9966,"1,366.00","1,300.00",2.50,33.00,2.50,33.00,0.00,0.00
1452,V0092,Sri Krishna Explosives&Acc Com,JV/M/21-22/01012,37AAIFS4136K1ZV,138..,31/10/2021,Stores - Explosives,3602,"94,990.00","80,500.00",9.00,"7,245.00",9.00,"7,245.00",0.00,0.00
1453,V0092,Sri Krishna Explosives&Acc Com,JV/M/21-22/01012,37AAIFS4136K1ZV,138..,31/10/2021,Stores - Explosives,3602,8.00,6.00,9.00,1.00,9.00,1.00,0.00,0.00
1454,V0092,Sri Krishna Explosives&Acc Com,JV/M/21-22/01013,37AAIFS4136K1ZV,139,31/10/2021,Stores - Explosives,3602,"48,380.00","41,000.00",9.00,"3,690.00",9.00,"3,690.00",0.00,0.00
1455,V0092,Sri Krishna Explosives&Acc Com,JV/M/21-22/01013,37AAIFS4136K1ZV,139,31/10/2021,Stores - Explosives,3602,8.00,6.00,9.00,1.00,9.00,1.00,0.00,0.00
1456,V0092,Sri Krishna Explosives&Acc Com,JV/M/21-22/01014,37AAIFS4136K1ZV,144..,31/10/2021,Stores - Explosives,3602,"94,990.00","80,500.00",9.00,"7,245.00",9.00,"7,245.00",0.00,0.00
1457,V0092,Sri Krishna Explosives&Acc Com,JV/M/21-22/01014,37AAIFS4136K1ZV,144..,31/10/2021,Stores - Explosives,3602,8.00,6.00,9.00,1.00,9.00,1.00,0.00,0.00
1458,V0092,Sri Krishna Explosives&Acc Com,JV/M/21-22/01015,37AAIFS4136K1ZV,145...,31/10/2021,Stores - Explosives,3602,"48,380.00","41,000.00",9.00,"3,690.00",9.00,"3,690.00",0.00,0.00
1459,V0092,Sri Krishna Explosives&Acc Com,JV/M/21-22/01015,37AAIFS4136K1ZV,145...,31/10/2021,Stores - Explosives,3602,8.00,6.00,9.00,1.00,9.00,1.00,0.00,0.00
1460,V0092,Sri Krishna Explosives&Acc Com,JV/M/21-22/01016,37AAIFS4136K1ZV,147..,31/10/2021,Stores - Explosives,3602,"94,990.00","80,500.00",9.00,"7,245.00",9.00,"7,245.00",0.00,0.00
1461,V0092,Sri Krishna Explosives&Acc Com,JV/M/21-22/01016,37AAIFS4136K1ZV,147..,31/10/2021,Stores - Explosives,3602,8.00,6.00,9.00,1.00,9.00,1.00,0.00,0.00
1462,V0092,Sri Krishna Explosives&Acc Com,JV/M/21-22/01017,37AAIFS4136K1ZV,148...,31/10/2021,Stores - Explosives,3602,"48,380.00","41,000.00",9.00,"3,690.00",9.00,"3,690.00",0.00,0.00
1463,V0092,Sri Krishna Explosives&Acc Com,JV/M/21-22/01017,37AAIFS4136K1ZV,148...,31/10/2021,Stores - Explosives,3602,8.00,6.00,9.00,1.00,9.00,1.00,0.00,0.00
1464,V0092,Sri Krishna Explosives&Acc Com,JV/M/21-22/01018,37AAIFS4136K1ZV,150,31/10/2021,Stores - Explosives,3602,"94,990.00","80,500.00",9.00,"7,245.00",9.00,"7,245.00",0.00,0.00
1465,V0092,Sri Krishna Explosives&Acc Com,JV/M/21-22/01018,37AAIFS4136K1ZV,150,31/10/2021,Stores - Explosives,3602,8.00,6.00,9.00,1.00,9.00,1.00,0.00,0.00
1466,V0092,Sri Krishna Explosives&Acc Com,JV/M/21-22/01019,37AAIFS4136K1ZV,151,31/10/2021,Stores - Explosives,3602,"48,380.00","41,000.00",9.00,"3,690.00",9.00,"3,690.00",0.00,0.00
1467,V0092,Sri Krishna Explosives&Acc Com,JV/M/21-22/01019,37AAIFS4136K1ZV,151,31/10/2021,Stores - Explosives,3602,8.00,6.00,9.00,1.00,9.00,1.00,0.00,0.00
1468,V0092,Sri Krishna Explosives&Acc Com,JV/M/21-22/01020,37AAIFS4136K1ZV,155,31/10/2021,Stores - Explosives,3602,"94,990.00","80,500.00",9.00,"7,245.00",9.00,"7,245.00",0.00,0.00
1469,V0092,Sri Krishna Explosives&Acc Com,JV/M/21-22/01020,37AAIFS4136K1ZV,155,31/10/2021,Stores - Explosives,3602,8.00,6.00,9.00,1.00,9.00,1.00,0.00,0.00
1470,V0092,Sri Krishna Explosives&Acc Com,JV/M/21-22/01021,37AAIFS4136K1ZV,156..,31/10/2021,Stores - Explosives,3602,"48,380.00","41,000.00",9.00,"3,690.00",9.00,"3,690.00",0.00,0.00
1471,V0092,Sri Krishna Explosives&Acc Com,JV/M/21-22/01021,37AAIFS4136K1ZV,156..,31/10/2021,Stores - Explosives,3602,8.00,6.00,9.00,1.00,9.00,1.00,0.00,0.00
1472,V0092,Sri Krishna Explosives&Acc Com,JV/M/21-22/01022,37AAIFS4136K1ZV,157...,31/10/2021,Stores - Explosives,3602,"94,990.00","80,500.00",9.00,"7,245.00",9.00,"7,245.00",0.00,0.00
1473,V0092,Sri Krishna Explosives&Acc Com,JV/M/21-22/01022,37AAIFS4136K1ZV,157...,31/10/2021,Stores - Explosives,3602,8.00,6.00,9.00,1.00,9.00,1.00,0.00,0.00
1474,V0092,Sri Krishna Explosives&Acc Com,JV/M/21-22/01023,37AAIFS4136K1ZV,158,31/10/2021,Stores - Explosives,3602,"48,380.00","41,000.00",9.00,"3,690.00",9.00,"3,690.00",0.00,0.00
1475,V0092,Sri Krishna Explosives&Acc Com,JV/M/21-22/01023,37AAIFS4136K1ZV,158,31/10/2021,Stores - Explosives,3602,8.00,6.00,9.00,1.00,9.00,1.00,0.00,0.00
1476,V0092,Sri Krishna Explosives&Acc Com,JV/M/21-22/01024,37AAIFS4136K1ZV,159,31/10/2021,Stores - Explosives,3602,"94,990.00","80,500.00",9.00,"7,245.00",9.00,"7,245.00",0.00,0.00
1477,V0092,Sri Krishna Explosives&Acc Com,JV/M/21-22/01024,37AAIFS4136K1ZV,159,31/10/2021,Stores - Explosives,3602,8.00,6.00,9.00,1.00,9.00,1.00,0.00,0.00
1478,V0092,Sri Krishna Explosives&Acc Com,JV/M/21-22/01025,37AAIFS4136K1ZV,160...,31/10/2021,Stores - Explosives,3602,"48,380.00","41,000.00",9.00,"3,690.00",9.00,"3,690.00",0.00,0.00
1479,V0092,Sri Krishna Explosives&Acc Com,JV/M/21-22/01025,37AAIFS4136K1ZV,160...,31/10/2021,Stores - Explosives,3602,8.00,6.00,9.00,1.00,9.00,1.00,0.00,0.00
1480,V0092,Sri Krishna Explosives&Acc Com,JV/M/21-22/01026,37AAIFS4136K1ZV,163....,31/10/2021,Stores - Explosives,3602,"94,990.00","80,500.00",9.00,"7,245.00",9.00,"7,245.00",0.00,0.00
1481,V0092,Sri Krishna Explosives&Acc Com,JV/M/21-22/01026,37AAIFS4136K1ZV,163....,31/10/2021,Stores - Explosives,3602,8.00,6.00,9.00,1.00,9.00,1.00,0.00,0.00
1482,V0092,Sri Krishna Explosives&Acc Com,JV/M/21-22/01027,37AAIFS4136K1ZV,164....,31/10/2021,Stores - Explosives,3602,"48,380.00","41,000.00",9.00,"3,690.00",9.00,"3,690.00",0.00,0.00
1483,V0092,Sri Krishna Explosives&Acc Com,JV/M/21-22/01027,37AAIFS4136K1ZV,164....,31/10/2021,Stores - Explosives,3602,8.00,6.00,9.00,1.00,9.00,1.00,0.00,0.00
1484,V0092,Sri Krishna Explosives&Acc Com,JV/M/21-22/01028,37AAIFS4136K1ZV,167....,31/10/2021,Stores - Explosives,3602,"94,990.00","80,500.00",9.00,"7,245.00",9.00,"7,245.00",0.00,0.00
1485,V0092,Sri Krishna Explosives&Acc Com,JV/M/21-22/01028,37AAIFS4136K1ZV,167....,31/10/2021,Stores - Explosives,3602,8.00,6.00,9.00,1.00,9.00,1.00,0.00,0.00
1486,V0092,Sri Krishna Explosives&Acc Com,JV/M/21-22/01029,37AAIFS4136K1ZV,168....,31/10/2021,Stores - Explosives,3602,"48,380.00","41,000.00",9.00,"3,690.00",9.00,"3,690.00",0.00,0.00
1487,V0092,Sri Krishna Explosives&Acc Com,JV/M/21-22/01029,37AAIFS4136K1ZV,168....,31/10/2021,Stores - Explosives,3602,8.00,6.00,9.00,1.00,9.00,1.00,0.00,0.00
1488,V0092,Sri Krishna Explosives&Acc Com,JV/M/21-22/01030,37AAIFS4136K1ZV,169,31/10/2021,Stores - Explosives,3602,"94,990.00","80,500.00",9.00,"7,245.00",9.00,"7,245.00",0.00,0.00
1489,V0092,Sri Krishna Explosives&Acc Com,JV/M/21-22/01030,37AAIFS4136K1ZV,169,31/10/2021,Stores - Explosives,3602,8.00,6.00,9.00,1.00,9.00,1.00,0.00,0.00
1490,V0092,Sri Krishna Explosives&Acc Com,JV/M/21-22/01031,37AAIFS4136K1ZV,170,31/10/2021,Stores - Explosives,3602,"48,380.00","41,000.00",9.00,"3,690.00",9.00,"3,690.00",0.00,0.00
1491,V0092,Sri Krishna Explosives&Acc Com,JV/M/21-22/01031,37AAIFS4136K1ZV,170,31/10/2021,Stores - Explosives,3602,8.00,6.00,9.00,1.00,9.00,1.00,0.00,0.00
1492,V0092,Sri Krishna Explosives&Acc Com,JV/M/21-22/01032,37AAIFS4136K1ZV,173,31/10/2021,Stores - Explosives,3602,"94,990.00","80,500.00",9.00,"7,245.00",9.00,"7,245.00",0.00,0.00
1493,V0092,Sri Krishna Explosives&Acc Com,JV/M/21-22/01032,37AAIFS4136K1ZV,173,31/10/2021,Stores - Explosives,3602,8.00,6.00,9.00,1.00,9.00,1.00,0.00,0.00
1494,V0092,Sri Krishna Explosives&Acc Com,JV/M/21-22/01033,37AAIFS4136K1ZV,174,31/10/2021,Stores - Explosives,3602,"48,380.00","41,000.00",9.00,"3,690.00",9.00,"3,690.00",0.00,0.00
1495,V0092,Sri Krishna Explosives&Acc Com,JV/M/21-22/01033,37AAIFS4136K1ZV,174,31/10/2021,Stores - Explosives,3602,8.00,6.00,9.00,1.00,9.00,1.00,0.00,0.00
1496,V0440,Keltech Energies Ltd (AP),JV/M/21-22/01034,37AAACK4702A2Z5,MGT212200091,31/10/2021,Stores - Explosives,3602,"132,715.00","112,471.00",9.00,"10,122.00",9.00,"10,122.00",0.00,0.00
1497,V0440,Keltech Energies Ltd (AP),JV/M/21-22/01035,37AAACK4702A2Z5,MGT212200092,31/10/2021,Stores - Explosives,3602,"107,676.00","91,250.00",9.00,"8,213.00",9.00,"8,213.00",0.00,0.00
1498,V0440,Keltech Energies Ltd (AP),JV/M/21-22/01036,37AAACK4702A2Z5,MGT212200093,31/10/2021,Stores - Explosives,3602,"378,115.00","320,437.00",9.00,"28,839.00",9.00,"28,839.00",0.00,0.00
1499,V0440,Keltech Energies Ltd (AP),JV/M/21-22/01037,37AAACK4702A2Z5,MGT212200094,31/10/2021,Stores - Explosives,3602,"50,082.00","42,442.00",9.00,"3,820.00",9.00,"3,820.00",0.00,0.00
1500,V0440,Keltech Energies Ltd (AP),JV/M/21-22/01038,37AAACK4702A2Z5,MGT212200095,31/10/2021,Stores - Explosives,3602,"75,123.00","63,663.00",9.00,"5,730.00",9.00,"5,730.00",0.00,0.00
1501,V0440,Keltech Energies Ltd (AP),JV/M/21-22/01039,37AAACK4702A2Z5,MGT212200096,31/10/2021,Stores - Explosives,3602,"135,219.00","114,593.00",9.00,"10,313.00",9.00,"10,313.00",0.00,0.00
1502,V0440,Keltech Energies Ltd (AP),JV/M/21-22/01040,37AAACK4702A2Z5,MGT212200097,31/10/2021,Stores - Explosives,3602,"42,570.00","36,076.00",9.00,"3,247.00",9.00,"3,247.00",0.00,0.00
1503,V0440,Keltech Energies Ltd (AP),JV/M/21-22/01041,37AAACK4702A2Z5,MGT212200098,31/10/2021,Stores - Explosives,3602,"177,789.00","150,669.00",9.00,"13,560.00",9.00,"13,560.00",0.00,0.00
1504,V0440,Keltech Energies Ltd (AP),JV/M/21-22/01042,37AAACK4702A2Z5,MGT212200099,31/10/2021,Stores - Explosives,3602,"338,049.00","286,483.00",9.00,"25,783.00",9.00,"25,783.00",0.00,0.00
1505,V0440,Keltech Energies Ltd (AP),JV/M/21-22/01042,37AAACK4702A2Z5,MGT212200099,31/10/2021,Stores - Explosives,3602,14.00,12.00,9.00,1.00,9.00,1.00,0.00,0.00
1506,V0440,Keltech Energies Ltd (AP),JV/M/21-22/01043,37AAACK4702A2Z5,MGT212200100,31/10/2021,Stores - Explosives,3602,"90,147.00","76,395.00",9.00,"6,876.00",9.00,"6,876.00",0.00,0.00
1507,V0440,Keltech Energies Ltd (AP),JV/M/21-22/01044,37AAACK4702A2Z5,MGT212200101,31/10/2021,Stores - Explosives,3602,"167,772.00","142,180.00",9.00,"12,796.00",9.00,"12,796.00",0.00,0.00
1508,V0440,Keltech Energies Ltd (AP),JV/M/21-22/01045,37AAACK4702A2Z5,MGT212200102,31/10/2021,Stores - Explosives,3602,"210,342.00","178,256.00",9.00,"16,043.00",9.00,"16,043.00",0.00,0.00
1509,V0440,Keltech Energies Ltd (AP),JV/M/21-22/01046,37AAACK4702A2Z5,MGT212200103,31/10/2021,Stores - Explosives,3602,"328,035.00","277,995.00",9.00,"25,020.00",9.00,"25,020.00",0.00,0.00
1510,V0440,Keltech Energies Ltd (AP),JV/M/21-22/01047,37AAACK4702A2Z5,MGT212200104,31/10/2021,Stores - Explosives,3602,"270,440.00","229,186.00",9.00,"20,627.00",9.00,"20,627.00",0.00,0.00
1511,V0440,Keltech Energies Ltd (AP),JV/M/21-22/01048,37AAACK4702A2Z5,MGT212200105,31/10/2021,Stores - Explosives,3602,"127,707.00","108,227.00",9.00,"9,740.00",9.00,"9,740.00",0.00,0.00
1512,V0440,Keltech Energies Ltd (AP),JV/M/21-22/01049,37AAACK4702A2Z5,MGT212200106,31/10/2021,Stores - Explosives,3602,"257,920.00","218,576.00",9.00,"19,672.00",9.00,"19,672.00",0.00,0.00
1513,V0273,Vijaya Associates,JV/M/21-22/01050,36ACCPA8582B1ZX,1741,31/10/2021,Stores - Explosives,3603,"8,850.00","7,500.00",0.00,0.00,0.00,0.00,18.00,"1,350.00"
1514,V0245,Salvo Explosives,JV/M/21-22/01051,36AACCS8200R1ZY,2778,31/10/2021,Stores - Explosives,3602,"515,325.00","436,716.00",0.00,0.00,0.00,0.00,18.00,"78,609.00"
1515,V0245,Salvo Explosives,JV/M/21-22/01052,36AACCS8200R1ZY,2795,31/10/2021,Stores - Explosives,3602,"171,775.00","145,572.00",0.00,0.00,0.00,0.00,18.00,"26,203.00"
1516,V0245,Salvo Explosives,JV/M/21-22/01053,36AACCS8200R1ZY,2890,31/10/2021,Stores - Explosives,3602,"245,393.00","207,960.00",0.00,0.00,0.00,0.00,18.00,"37,433.00"
1517,V0245,Salvo Explosives,JV/M/21-22/01054,36AACCS8200R1ZY,2912,31/10/2021,Stores - Explosives,3602,"392,628.00","332,736.00",0.00,0.00,0.00,0.00,18.00,"59,892.00"
1518,V0245,Salvo Explosives,JV/M/21-22/01055,36AACCS8200R1ZY,2918,31/10/2021,Stores - Explosives,3602,"116,407.00","98,650.00",0.00,0.00,0.00,0.00,18.00,"17,757.00"
1519,V0245,Salvo Explosives,JV/M/21-22/01056,36AACCS8200R1ZY,2919,31/10/2021,Stores - Explosives,3602,"143,959.00","121,999.00",0.00,0.00,0.00,0.00,18.00,"21,960.00"
1520,V0245,Salvo Explosives,JV/M/21-22/01057,36AACCS8200R1ZY,3092,31/10/2021,Stores - Explosives,3602,"143,959.00","121,999.00",0.00,0.00,0.00,0.00,18.00,"21,960.00"
1521,V0245,Salvo Explosives,JV/M/21-22/01058,36AACCS8200R1ZY,DN-21  2919 & 3092,31/10/2021,Stores - Explosives,3602,"31,914.00","27,046.00",0.00,0.00,0.00,0.00,18.00,"4,868.00"
1522,V0245,Salvo Explosives,JV/M/21-22/01059,36AACCS8200R1ZY,3093,31/10/2021,Stores - Explosives,3602,"90,978.00","77,100.00",0.00,0.00,0.00,0.00,18.00,"13,878.00"
1523,V0591,Smart Chem Technokogies Ltd,JV/M/21-22/01060,27AACCA5046P2ZC,F20000742724,31/10/2021,Stores - Explosives,3102,"1,126,900.00","955,000.00",0.00,0.00,0.00,0.00,18.00,"171,900.00"
1524,V0591,Smart Chem Technokogies Ltd,JV/M/21-22/01061,27AACCA5046P2ZC,F20000745681,31/10/2021,Stores - Explosives,3102,"1,224,250.00","1,037,500.00",0.00,0.00,0.00,0.00,18.00,"186,750.00"
1525,V0246,Economic Explosives,JV/M/21-22/01062,27AAACE3871C1ZX,10961522,31/10/2021,Stores - Explosives,3603,"885,142.00","750,120.00",0.00,0.00,0.00,0.00,18.00,"135,022.00"
1526,V1268,Ideal Industrial Explosives Ltd,JV/M/21-22/01063,36AAACI3374G1ZO,CHT-4232,31/10/2021,Stores - Explosives,3602,"304,364.00","257,936.00",0.00,0.00,0.00,0.00,18.00,"46,428.00"
1527,V1268,Ideal Industrial Explosives Ltd,JV/M/21-22/01063,36AAACI3374G1ZO,CHT-4232,31/10/2021,Stores - Explosives,3602,7.00,6.00,0.00,0.00,0.00,0.00,18.00,1.00
1528,V1268,Ideal Industrial Explosives Ltd,JV/M/21-22/01064,36AAACI3374G1ZO,CHT-4255,31/10/2021,Stores - Explosives,3602,"354,335.00","300,284.00",0.00,0.00,0.00,0.00,18.00,"54,051.00"
1529,V1268,Ideal Industrial Explosives Ltd,JV/M/21-22/01065,36AAACI3374G1ZO,CHT-4391,31/10/2021,Stores - Explosives,3602,"249,852.00","211,739.00",0.00,0.00,0.00,0.00,18.00,"38,113.00"
1530,V1268,Ideal Industrial Explosives Ltd,JV/M/21-22/01066,36AAACI3374G1ZO,CHT-4485,31/10/2021,Stores - Explosives,3602,"374,777.00","317,608.00",0.00,0.00,0.00,0.00,18.00,"57,169.00"
1531,V1268,Ideal Industrial Explosives Ltd,JV/M/21-22/01066,36AAACI3374G1ZO,CHT-4485,31/10/2021,Stores - Explosives,3602,7.00,6.00,0.00,0.00,0.00,0.00,18.00,1.00
1532,V1268,Ideal Industrial Explosives Ltd,JV/M/21-22/01067,36AAACI3374G1ZO,CHT-4538,31/10/2021,Stores - Explosives,3602,"383,863.00","325,308.00",0.00,0.00,0.00,0.00,18.00,"58,555.00"
1533,V1268,Ideal Industrial Explosives Ltd,JV/M/21-22/01068,36AAACI3374G1ZO,CHT-4558,31/10/2021,Stores - Explosives,3602,"131,740.00","111,644.00",0.00,0.00,0.00,0.00,18.00,"20,096.00"
1534,V1268,Ideal Industrial Explosives Ltd,JV/M/21-22/01069,36AAACI3374G1ZO,CHT-4571,31/10/2021,Stores - Explosives,3602,"136,283.00","115,494.00",0.00,0.00,0.00,0.00,18.00,"20,789.00"
1535,V1268,Ideal Industrial Explosives Ltd,JV/M/21-22/01070,36AAACI3374G1ZO,CHT-4601,31/10/2021,Stores - Explosives,3602,"556,489.00","471,601.00",0.00,0.00,0.00,0.00,18.00,"84,888.00"
1536,V1268,Ideal Industrial Explosives Ltd,JV/M/21-22/01071,36AAACI3374G1ZO,CHT-4627,31/10/2021,Stores - Explosives,3602,"88,584.00","75,071.00",0.00,0.00,0.00,0.00,18.00,"13,513.00"
1537,V1268,Ideal Industrial Explosives Ltd,JV/M/21-22/01072,36AAACI3374G1ZO,CHT-4628,31/10/2021,Stores - Explosives,3602,"476,990.00","404,229.00",0.00,0.00,0.00,0.00,18.00,"72,761.00"
1538,V1268,Ideal Industrial Explosives Ltd,JV/M/21-22/01073,36AAACI3374G1ZO,CHT-4662,31/10/2021,Stores - Explosives,3602,"174,896.00","148,217.00",0.00,0.00,0.00,0.00,18.00,"26,679.00"
1539,V1268,Ideal Industrial Explosives Ltd,JV/M/21-22/01074,36AAACI3374G1ZO,CHT-4709,31/10/2021,Stores - Explosives,3602,"340,707.00","288,735.00",0.00,0.00,0.00,0.00,18.00,"51,972.00"
1540,V1268,Ideal Industrial Explosives Ltd,JV/M/21-22/01075,36AAACI3374G1ZO,CHT-4736,31/10/2021,Stores - Explosives,3602,"324,808.00","275,261.00",0.00,0.00,0.00,0.00,18.00,"49,547.00"
1541,V1268,Ideal Industrial Explosives Ltd,JV/M/21-22/01076,36AAACI3374G1ZO,CHT-4737,31/10/2021,Stores - Explosives,3602,"68,141.00","57,747.00",0.00,0.00,0.00,0.00,18.00,"10,394.00"
1542,V1268,Ideal Industrial Explosives Ltd,JV/M/21-22/01077,36AAACI3374G1ZO,CHT-4767,31/10/2021,Stores - Explosives,3602,"279,380.00","236,763.00",0.00,0.00,0.00,0.00,18.00,"42,617.00"
1543,V1268,Ideal Industrial Explosives Ltd,JV/M/21-22/01078,36AAACI3374G1ZO,CHT-4811,31/10/2021,Stores - Explosives,3602,"243,038.00","205,964.00",0.00,0.00,0.00,0.00,18.00,"37,074.00"
1544,V0002,"A. Revathi,Out source Contr",JV/M/21-22/01090,37BBTPA1899J1Z0,AR/2021-22/012,30/11/2021,Remuneration(Outsourcing),998519,"2,539,486.00","2,152,106.00",9.00,"193,690.00",9.00,"193,690.00",0.00,0.00
1545,V0143,"S. Madhavi,Contractor",JV/M/21-22/01092,37BYBPM0694Q1ZQ,SMV/2021-22/012,30/11/2021,Remuneration(Outsourcing),998519,"2,747,817.00","2,328,659.00",9.00,"209,579.00",9.00,"209,579.00",0.00,0.00
1546,V0146,"S.D.S. Swarnalatha,Contract",JV/M/21-22/01094,37EKAPS1838G1ZZ,SDS-2021-22/012,30/11/2021,Remuneration(Outsourcing),998519,"2,611,155.00","2,212,843.00",9.00,"199,156.00",9.00,"199,156.00",0.00,0.00
1547,V0124,"P. Ravi Babu,Contractor",JV/M/21-22/01096,37BKJPR7084M3Z5,PR/2021-22/013,30/11/2021,Remuneration(Outsourcing),998519,"2,647,904.00","2,243,986.00",9.00,"201,959.00",9.00,"201,959.00",0.00,0.00
1548,V1023,Prathap Reddy Mannuru,JV/M/21-22/01098,37AQCPM4537E1ZX,MPR-2021-22/012,30/11/2021,Remuneration(Outsourcing),998519,"3,480,567.00","2,949,633.00",9.00,"265,467.00",9.00,"265,467.00",0.00,0.00
1549,V1015,Vaddi Subba Reddy,JV/M/21-22/01100,37AKOPV1282H1ZM,VSR-2021-22/0012A,30/11/2021,Remuneration(Outsourcing),998519,"3,900,938.00","3,305,880.00",9.00,"297,529.00",9.00,"297,529.00",0.00,0.00
1550,V1247,Sai Krupa Manpower Agency,JV/M/21-22/01102,37BALPV7821E1ZA,SK/2021-22/006,30/11/2021,Remuneration(Outsourcing),998519,"1,832,623.00","1,553,071.00",9.00,"139,776.00",9.00,"139,776.00",0.00,0.00
1551,V1282,MK Best Calibration Services,JV/M/21-22/01111,33AATFM2320A1ZT,704,30/11/2021,Laboratory expenses,9017,"2,124.00","1,800.00",0.00,0.00,0.00,0.00,18.00,324.00
1552,V0302,Basha Ref & A.C Works,JV/M/21-22/01112,37AOJPA7151B1ZC,401,30/11/2021,R & M to Other Assets,8532,"1,272.00","1,078.00",9.00,97.00,9.00,97.00,0.00,0.00
1553,V0302,Basha Ref & A.C Works,JV/M/21-22/01112,37AOJPA7151B1ZC,401,30/11/2021,R & M to Other Assets,998719,"1,499.00","1,271.00",9.00,114.00,9.00,114.00,0.00,0.00
1554,V0302,Basha Ref & A.C Works,JV/M/21-22/01112,37AOJPA7151B1ZC,401,30/11/2021,R & M to Other Assets,8450,"1,798.00","1,524.00",9.00,137.00,9.00,137.00,0.00,0.00
1555,V0302,Basha Ref & A.C Works,JV/M/21-22/01112,37AOJPA7151B1ZC,401,30/11/2021,R & M to Other Assets,8450,8.00,6.00,9.00,1.00,9.00,1.00,0.00,0.00
1556,V0302,Basha Ref & A.C Works,JV/M/21-22/01113,37AOJPA7151B1ZC,402,30/11/2021,R & M to Other Assets,8450,"4,248.00","3,600.00",9.00,324.00,9.00,324.00,0.00,0.00
1557,V0302,Basha Ref & A.C Works,JV/M/21-22/01113,37AOJPA7151B1ZC,402,30/11/2021,R & M to Other Assets,998719,944.00,800.00,9.00,72.00,9.00,72.00,0.00,0.00
1558,V0302,Basha Ref & A.C Works,JV/M/21-22/01114,37AOJPA7151B1ZC,403,30/11/2021,R & M to Other Assets,8450,"3,600.00","3,050.00",9.00,275.00,9.00,275.00,0.00,0.00
1559,V0302,Basha Ref & A.C Works,JV/M/21-22/01115,37AOJPA7151B1ZC,404,30/11/2021,R & M to Other Assets,998719,"3,600.00","3,050.00",9.00,275.00,9.00,275.00,0.00,0.00
